Squad,# Pl,Poss,90s
Arsenal,25,58.3,38.0
Aston Villa,29,46.4,38.0
Bournemouth,28,51.2,38.0
Chelsea,28,56.2,38.0
Crystal Palace,30,45.8,38.0
Everton,31,51.9,38.0
Leicester City,23,42.6,38.0
Liverpool,34,57.2,38.0
Manchester City,25,56.9,38.0
Manchester Utd,33,58.5,38.0
Newcastle Utd,31,46.6,38.0
Norwich City,28,46.0,38.0
Southampton,26,49.2,38.0
Stoke City,27,49.7,38.0
Sunderland,31,41.0,38.0
Swansea City,27,52.5,38.0
Tottenham,24,57.4,38.0
Watford,25,45.1,38.0
West Brom,28,39.8,38.0
West Ham,28,48.4,38.0