season,club,final_position,squad_value_eur
2010-11,Manchester United,1.0,384880000.0
2010-11,Chelsea FC,2.0,451950000.0
2010-11,Manchester City,3.0,312500000.0
2010-11,Arsenal FC,4.0,314300000.0
2010-11,Tottenham Hotspur,5.0,263530000.0
2010-11,Liverpool FC,6.0,331550000.0
2010-11,Everton FC,7.0,218930000.0
2010-11,Fulham FC,8.0,101180000.0
2010-11,Aston Villa,9.0,167380000.0
2010-11,Sunderland AFC,10.0,131580000.0
2010-11,West Bromwich Albion,11.0,
2010-11,Newcastle United,12.0,
2010-11,Stoke City,13.0,80700000.0
2010-11,Bolton Wanderers,14.0,85800000.0
2010-11,Blackburn Rovers,15.0,91630000.0
2010-11,Wigan Athletic,16.0,77600000.0
2010-11,Wolverhampton Wanderers,17.0,65480000.0
2010-11,Birmingham City,18.0,69650000.0
2010-11,Blackpool FC,19.0,
2010-11,West Ham United,20.0,121750000.0
2010-11,Portsmouth FC,,96650000.0
2010-11,Hull City,,73200000.0
2010-11,Burnley FC,,48150000.0
2011-12,Manchester City,1.0,404180000.0
2011-12,Manchester United,2.0,388000000.0
2011-12,Arsenal FC,3.0,324000000.0
2011-12,Tottenham Hotspur,4.0,307080000.0
2011-12,Newcastle United,5.0,119480000.0
2011-12,Chelsea FC,6.0,424100000.0
2011-12,Everton FC,7.0,184480000.0
2011-12,Liverpool FC,8.0,339200000.0
2011-12,Fulham FC,9.0,109550000.0
2011-12,West Bromwich Albion,10.0,86880000.0
2011-12,Swansea City,11.0,
2011-12,Norwich City,12.0,
2011-12,Sunderland AFC,13.0,149330000.0
2011-12,Stoke City,14.0,94450000.0
2011-12,Wigan Athletic,15.0,80500000.0
2011-12,Aston Villa,16.0,202800000.0
2011-12,Queens Park Rangers,17.0,
2011-12,Bolton Wanderers,18.0,100150000.0
2011-12,Blackburn Rovers,19.0,91530000.0
2011-12,Wolverhampton Wanderers,20.0,83550000.0
2011-12,West Ham United,,138750000.0
2011-12,Birmingham City,,95380000.0
2011-12,Blackpool FC,,50030000.0
2012-13,Manchester United,1.0,404100000.0
2012-13,Manchester City,2.0,498600000.0
2012-13,Chelsea FC,3.0,375500000.0
2012-13,Arsenal FC,4.0,362430000.0
2012-13,Tottenham Hotspur,5.0,323500000.0
2012-13,Everton FC,6.0,169950000.0
2012-13,Liverpool FC,7.0,236900000.0
2012-13,West Bromwich Albion,8.0,69550000.0
2012-13,Swansea City,9.0,75600000.0
2012-13,West Ham United,10.0,
2012-13,Norwich City,11.0,58750000.0
2012-13,Fulham FC,12.0,100000000.0
2012-13,Stoke City,13.0,81650000.0
2012-13,Southampton FC,14.0,
2012-13,Aston Villa,15.0,123500000.0
2012-13,Newcastle United,16.0,161700000.0
2012-13,Sunderland AFC,17.0,126500000.0
2012-13,Wigan Athletic,18.0,74250000.0
2012-13,Reading FC,19.0,
2012-13,Queens Park Rangers,20.0,81380000.0
2012-13,Bolton Wanderers,,90050000.0
2012-13,Blackburn Rovers,,80000000.0
2012-13,Wolverhampton Wanderers,,78050000.0
2013-14,Manchester City,1.0,502100000.0
2013-14,Liverpool FC,2.0,276100000.0
2013-14,Chelsea FC,3.0,454250000.0
2013-14,Arsenal FC,4.0,296900000.0
2013-14,Everton FC,5.0,139750000.0
2013-14,Tottenham Hotspur,6.0,296800000.0
2013-14,Manchester United,7.0,457500000.0
2013-14,Southampton FC,8.0,83050000.0
2013-14,Stoke City,9.0,104050000.0
2013-14,Newcastle United,10.0,200250000.0
2013-14,Crystal Palace,11.0,
2013-14,Swansea City,12.0,102250000.0
2013-14,West Ham United,13.0,103000000.0
2013-14,Sunderland AFC,14.0,133900000.0
2013-14,Aston Villa,15.0,110500000.0
2013-14,Hull City,16.0,
2013-14,West Bromwich Albion,17.0,93500000.0
2013-14,Norwich City,18.0,73250000.0
2013-14,Fulham FC,19.0,109850000.0
2013-14,Cardiff City,20.0,
2013-14,Queens Park Rangers,,120050000.0
2013-14,Wigan Athletic,,91550000.0
2013-14,Reading FC,,46250000.0
2014-15,Chelsea FC,1.0,584200000.0
2014-15,Manchester City,2.0,455800000.0
2014-15,Arsenal FC,3.0,385750000.0
2014-15,Manchester United,4.0,402550000.0
2014-15,Tottenham Hotspur,5.0,288950000.0
2014-15,Liverpool FC,6.0,315750000.0
2014-15,Southampton FC,7.0,131500000.0
2014-15,Swansea City,8.0,128930000.0
2014-15,Stoke City,9.0,104700000.0
2014-15,Crystal Palace,10.0,68700000.0
2014-15,Everton FC,11.0,210000000.0
2014-15,West Ham United,12.0,109500000.0
2014-15,West Bromwich Albion,13.0,90800000.0
2014-15,Leicester City,14.0,
2014-15,Newcastle United,15.0,172300000.0
2014-15,Sunderland AFC,16.0,122000000.0
2014-15,Aston Villa,17.0,109500000.0
2014-15,Hull City,18.0,68150000.0
2014-15,Burnley FC,19.0,
2014-15,Queens Park Rangers,20.0,
2014-15,Fulham FC,,112650000.0
2014-15,Norwich City,,89300000.0
2014-15,Cardiff City,,87900000.0
2015-16,Leicester City,1.0,66700000.0
2015-16,Arsenal FC,2.0,414750000.0
2015-16,Tottenham Hotspur,3.0,304150000.0
2015-16,Manchester City,4.0,448250000.0
2015-16,Manchester United,5.0,505400000.0
2015-16,Southampton FC,6.0,210250000.0
2015-16,West Ham United,7.0,135900000.0
2015-16,Liverpool FC,8.0,324850000.0
2015-16,Stoke City,9.0,110500000.0
2015-16,Chelsea FC,10.0,557250000.0
2015-16,Everton FC,11.0,182850000.0
2015-16,Swansea City,12.0,130750000.0
2015-16,Watford FC,13.0,
2015-16,West Bromwich Albion,14.0,95950000.0
2015-16,Crystal Palace,15.0,97250000.0
2015-16,Bournemouth AFC,16.0,
2015-16,Sunderland AFC,17.0,91000000.0
2015-16,Newcastle United,18.0,140000000.0
2015-16,Norwich City,19.0,
2015-16,Aston Villa,20.0,114250000.0
2015-16,Hull City,,117100000.0
2015-16,Queens Park Rangers,,112250000.0
2015-16,Burnley FC,,52550000.0
2016-17,Chelsea FC,1.0,553500000.0
2016-17,Tottenham Hotspur,2.0,371850000.0
2016-17,Manchester City,3.0,499350000.0
2016-17,Liverpool FC,4.0,375250000.0
2016-17,Arsenal FC,5.0,457850000.0
2016-17,Manchester United,6.0,439850000.0
2016-17,Everton FC,7.0,249850000.0
2016-17,Southampton FC,8.0,225500000.0
2016-17,Bournemouth AFC,9.0,99900000.0
2016-17,West Bromwich Albion,10.0,113100000.0
2016-17,West Ham United,11.0,201330000.0
2016-17,Leicester City,12.0,161100000.0
2016-17,Stoke City,13.0,147000000.0
2016-17,Crystal Palace,14.0,135700000.0
2016-17,Swansea City,15.0,145800000.0
2016-17,Burnley FC,16.0,
2016-17,Watford FC,17.0,137000000.0
2016-17,Hull City,18.0,
2016-17,Middlesbrough FC,19.0,
2016-17,Sunderland AFC,20.0,111250000.0
2016-17,Newcastle United,,198000000.0
2016-17,Aston Villa,,117950000.0
2016-17,Norwich City,,116900000.0
2017-18,Manchester City,1.0,576500000.0
2017-18,Manchester United,2.0,531450000.0
2017-18,Tottenham Hotspur,3.0,543650000.0
2017-18,Liverpool FC,4.0,425650000.0
2017-18,Chelsea FC,5.0,686700000.0
2017-18,Arsenal FC,6.0,542000000.0
2017-18,Burnley FC,7.0,107180000.0
2017-18,Everton FC,8.0,311250000.0
2017-18,Leicester City,9.0,218650000.0
2017-18,Newcastle United,10.0,
2017-18,Crystal Palace,11.0,228430000.0
2017-18,Bournemouth AFC,12.0,131600000.0
2017-18,West Ham United,13.0,273050000.0
2017-18,Watford FC,14.0,175650000.0
2017-18,Brighton & Hove Albion,15.0,
2017-18,Huddersfield Town,16.0,
2017-18,Southampton FC,17.0,263750000.0
2017-18,Swansea City,18.0,157100000.0
2017-18,Stoke City,19.0,186000000.0
2017-18,West Bromwich Albion,20.0,123200000.0
2017-18,Hull City,,135850000.0
2017-18,Sunderland AFC,,132000000.0
2017-18,Middlesbrough FC,,128800000.0
2018-19,Manchester City,1.0,1010000000.0
2018-19,Liverpool FC,2.0,857500000.0
2018-19,Chelsea FC,3.0,884250000.0
2018-19,Tottenham Hotspur,4.0,829600000.0
2018-19,Arsenal FC,5.0,694000000.0
2018-19,Manchester United,6.0,849500000.0
2018-19,Wolverhampton Wanderers,7.0,
2018-19,Everton FC,8.0,381250000.0
2018-19,Leicester City,9.0,304250000.0
2018-19,West Ham United,10.0,260600000.0
2018-19,Watford FC,11.0,196000000.0
2018-19,Crystal Palace,12.0,220730000.0
2018-19,Bournemouth AFC,13.0,144500000.0
2018-19,Newcastle United,14.0,208280000.0
2018-19,Burnley FC,15.0,169300000.0
2018-19,Southampton FC,16.0,297000000.0
2018-19,Brighton & Hove Albion,17.0,148200000.0
2018-19,Cardiff City,18.0,
2018-19,Fulham FC,19.0,
2018-19,Huddersfield Town,20.0,106050000.0
2018-19,Stoke City,,192450000.0
2018-19,West Bromwich Albion,,165950000.0
2018-19,Swansea City,,165490000.0
2019-20,Liverpool FC,1.0,1170000000.0
2019-20,Manchester City,2.0,1200000000.0
2019-20,Manchester United,3.0,797600000.0
2019-20,Chelsea FC,4.0,1170000000.0
2019-20,Leicester City,5.0,434100000.0
2019-20,Tottenham Hotspur,6.0,898600000.0
2019-20,Wolverhampton Wanderers,7.0,302900000.0
2019-20,Arsenal FC,8.0,659050000.0
2019-20,Sheffield United,9.0,
2019-20,Burnley FC,10.0,197250000.0
2019-20,Southampton FC,11.0,305400000.0
2019-20,Everton FC,12.0,529100000.0
2019-20,Newcastle United,13.0,244650000.0
2019-20,Crystal Palace,14.0,289000000.0
2019-20,Brighton & Hove Albion,15.0,194350000.0
2019-20,West Ham United,16.0,359000000.0
2019-20,Aston Villa,17.0,
2019-20,Bournemouth AFC,18.0,310000000.0
2019-20,Watford FC,19.0,239100000.0
2019-20,Norwich City,20.0,
2019-20,Fulham FC,,254250000.0
2019-20,Huddersfield Town,,137450000.0
2019-20,Cardiff City,,113000000.0
